================================================
  NLOC    CCN   token  PARAM  length  location  
      43     13    257      6      57 add_url_rule@605-661@.\flask\src\flask\sansio\app.py
      89     23    457      3     105 register@273-377@.\flask\src\flask\sansio\blueprints.py
     103     13    263      6     122 run@546-667@.\flask\src\flask\app.py
     103     12    278      7     125 url_for@1003-1127@.\flask\src\flask\app.py
     120     16    317      2     141 make_response@1129-1269@.\flask\src\flask\app.py
      39     12    171      1      51 find_best_app@41-91@.\flask\src\flask\cli.py
      61     14    263      2      78 find_app_by_string@120-197@.\flask\src\flask\cli.py
      58     13    191      2      66 load_dotenv@698-763@.\flask\src\flask\cli.py
      36     18    301      2      47 routes_command@1061-1107@.\flask\src\flask\cli.py
      48     12    248      4      55 explain_template_loading_attempts@124-178@.\flask\src\flask\debughelpers.py
     80      11.5     3.0       85.0         2     .\flask\docs\conf.py
     77      10.2     2.8       54.7         6     .\flask\examples\tutorial\flaskr\auth.py
     84      13.2     2.8       66.0         5     .\flask\examples\tutorial\flaskr\blog.py
     27      13.0     2.0       73.0         2     .\flask\examples\tutorial\flaskr\__init__.py
    181      10.5     2.3       50.8        11     .\flask\src\flask\json\provider.py
    154      29.4     1.8       49.4         5     .\flask\src\flask\json\__init__.py
    711      15.6     2.3       49.2        34     .\flask\src\flask\sansio\app.py
    533      12.9     2.4       62.2        34     .\flask\src\flask\sansio\blueprints.py
    600      15.1     1.7       49.9        35     .\flask\src\flask\sansio\scaffold.py
   1318      32.0     4.3       94.0        35     .\flask\src\flask\app.py
    103      22.5     2.2       83.0         4     .\flask\src\flask\blueprints.py
    849      18.6     4.7      101.6        34     .\flask\src\flask\cli.py
    324      22.0     3.3       74.2        12     .\flask\src\flask\config.py
    368      11.3     1.9       46.4        27     .\flask\src\flask\ctx.py
    147      17.7     4.3       87.6         7     .\flask\src\flask\debughelpers.py
    550      30.8     2.5       71.0        17     .\flask\src\flask\helpers.py
     57      14.7     3.7       45.0         3     .\flask\src\flask\logging.py
    178      10.2     2.2       65.4        15     .\flask\src\flask\templating.py
    241      15.0     3.0       83.6        12     .\flask\src\flask\testing.py
    135      11.0     2.8       60.5         6     .\flask\src\flask\views.py
    195      11.2     2.5       31.2        12     .\flask\src\flask\wrappers.py
    191      10.2     1.1       77.7        18     .\flask\tests\test_config.py
      89     23    457      3     105 register@273-377@.\flask\src\flask\sansio\blueprints.py
     120     16    317      2     141 make_response@1129-1269@.\flask\src\flask\app.py
      36     18    301      2      47 routes_command@1061-1107@.\flask\src\flask\cli.py
