nloc,CCN,token_count,parameter_count,length,location,filename,filepath,function_name,signature,start_line,end_line
21,5,157,7,26,github_link@72-97@.\docs\conf.py,.\docs\conf.py,github_link,"github_link( name , rawtext , text , lineno , inliner , options = None , content = None )",72,97,122
2,1,13,1,2,setup@100-101@.\docs\conf.py,.\docs\conf.py,setup,setup( app ),100,101,102
2,1,17,2,2,add@8-9@.\examples\celery\src\task_app\tasks.py,.\examples\celery\src\task_app\tasks.py,add,"add( a : int , b : int )",8,9,10
2,1,12,0,2,block@13-14@.\examples\celery\src\task_app\tasks.py,.\examples\celery\src\task_app\tasks.py,block,block( ),13,14,15
5,2,59,2,6,process@18-23@.\examples\celery\src\task_app\tasks.py,.\examples\celery\src\task_app\tasks.py,process,"process( self : Task , total : int )",18,23,28
8,3,60,1,8,result@11-18@.\examples\celery\src\task_app\views.py,.\examples\celery\src\task_app\views.py,result,result( id : str ),11,18,25
5,1,59,0,5,add@22-26@.\examples\celery\src\task_app\views.py,.\examples\celery\src\task_app\views.py,add,add( ),22,26,30
3,1,28,0,3,block@30-32@.\examples\celery\src\task_app\views.py,.\examples\celery\src\task_app\views.py,block,block( ),30,32,34
3,1,42,0,3,process@36-38@.\examples\celery\src\task_app\views.py,.\examples\celery\src\task_app\views.py,process,process( ),36,38,40
2,1,11,0,2,create_app.index@20-21@.\examples\celery\src\task_app\__init__.py,.\examples\celery\src\task_app\__init__.py,create_app.index,create_app.index( ),20,21,22
16,1,71,0,20,create_app@7-26@.\examples\celery\src\task_app\__init__.py,.\examples\celery\src\task_app\__init__.py,create_app,create_app( ),7,26,45
3,1,35,3,3,celery_init_app.__call__@31-33@.\examples\celery\src\task_app\__init__.py,.\examples\celery\src\task_app\__init__.py,celery_init_app.__call__,"celery_init_app.__call__( self , * args : object , ** kwargs : object )",31,33,35
8,1,55,1,11,celery_init_app@29-39@.\examples\celery\src\task_app\__init__.py,.\examples\celery\src\task_app\__init__.py,celery_init_app,celery_init_app( app : Flask ),29,39,49
2,1,15,1,2,index@10-11@.\examples\javascript\js_example\views.py,.\examples\javascript\js_example\views.py,index,index( js ),10,11,12
4,1,45,0,4,add@15-18@.\examples\javascript\js_example\views.py,.\examples\javascript\js_example\views.py,add,add( ),15,18,21
4,1,16,0,4,fixture_app@7-10@.\examples\javascript\tests\conftest.py,.\examples\javascript\tests\conftest.py,fixture_app,fixture_app( ),7,10,13
2,1,11,1,2,client@14-15@.\examples\javascript\tests\conftest.py,.\examples\javascript\tests\conftest.py,client,client( app ),14,15,16
2,1,15,3,2,test_index.check@15-16@.\examples\javascript\tests\test_js_example.py,.\examples\javascript\tests\test_js_example.py,test_index.check,"test_index.check( sender , template , context )",15,16,17
4,1,29,4,6,test_index@14-19@.\examples\javascript\tests\test_js_example.py,.\examples\javascript\tests\test_js_example.py,test_index,"test_index( app , client , path , template_name )",14,19,24
3,1,42,4,3,test_add@25-27@.\examples\javascript\tests\test_js_example.py,.\examples\javascript\tests\test_js_example.py,test_add,"test_add( client , a , b , result )",25,27,29
4,2,27,1,5,login_required.wrapped_view@23-27@.\examples\tutorial\flaskr\auth.py,.\examples\tutorial\flaskr\auth.py,login_required.wrapped_view,login_required.wrapped_view( ** kwargs ),23,27,31
4,1,17,1,11,login_required@19-29@.\examples\tutorial\flaskr\auth.py,.\examples\tutorial\flaskr\auth.py,login_required,login_required( view ),19,29,39
8,2,48,0,11,load_logged_in_user@33-43@.\examples\tutorial\flaskr\auth.py,.\examples\tutorial\flaskr\auth.py,load_logged_in_user,load_logged_in_user( ),33,43,53
23,6,106,0,35,register@47-81@.\examples\tutorial\flaskr\auth.py,.\examples\tutorial\flaskr\auth.py,register,register( ),47,81,115
19,5,112,0,25,login@85-109@.\examples\tutorial\flaskr\auth.py,.\examples\tutorial\flaskr\auth.py,login,login( ),85,109,133
3,1,18,0,4,logout@113-116@.\examples\tutorial\flaskr\auth.py,.\examples\tutorial\flaskr\auth.py,logout,logout( ),113,116,119
8,1,33,0,9,index@17-25@.\examples\tutorial\flaskr\blog.py,.\examples\tutorial\flaskr\blog.py,index,index( ),17,25,33
